Name,Code,Supplier,HOPB,LEWI,POSE,BARC,FLNT,SUGG,CUPE,GUIL,CRAM,LIRO,KING,MCDI,LECO,WALK,BLWA,MAYF,TOMB,PRLA,PRPO,ARIK,BLUE,PRIN,BLDE,COMO,WLOU,SYCA,REDB,MART,MCRA,BIGC,TECR,OKSR,TOOK,CARI,BART,HARV,BLAN,SCBI,SERC,DSNY,JERC,OSBS,GUAN,LAJA,STEI,TREE,UNDE,KONA,KONZ,UKFS,GRSM,MLBS,ORNL,DELA,LENO,TALL,DCFS,NOGP,WOOD,CPER,RMNP,STER,CLBJ,OAES,YELL,MOAB,NIWO,JORN,SRER,ONAQ,ABBY,WREF,SJER,SOAP,TEAK,BARR,TOOL,BONA,DEJU,HEAL,PUUM
Triple Aspirated Air Temperature,DP1.00003,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Barometric Pressure,DP1.00004,TIS,2017,2017,2016,2017,2018,2017,2018,2018,2017,2017,2016,2017,2017,2016,NA,2016,NA,2017,2017,2015,2018,2017,2018,2017,2017,2017,2018,2018,2017,2018,2018,2017,2017,2017,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
IR Biological Temperature,DP1.00005,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Precipitation/Secondary,DP1.00006,TIS,NA,NA,NA,NA,NA,NA,2018,2018,NA,NA,NA,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017,2017,NA,NA,NA,2018,NA,NA,2017,NA,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Precipitation/Throughfall,DP1.00006,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Shortwave Radiation (Direct and Diffuse Pyranometer),DP1.00014,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Shortwave and Longwave Radiation (Net radiometer),DP1.00023,TIS,2017,2017,2016,2017,2018,2017,2018,2018,2017,2017,2016,2017,2017,2016,NA,2016,NA,2017,2017,2015,2018,2017,2018,2017,2017,2017,2018,2018,2017,2018,2018,2017,2017,2017,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Photosynthetically Active Radiation (PAR),DP1.00024,TIS,2017,2017,2016,2017,2018,2017,2018,2018,2017,2017,2016,2017,2017,2016,NA,2016,NA,2017,2017,2015,2018,2017,2018,2017,2017,2017,2018,2018,2017,2018,2018,2017,2017,2017,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Spectral Sun Photometer - Calibrated Sky Radiances,DP1.00043,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
Photosynthetically active radiation (Quantum Line),DP1.00066,TIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2014,2014,2014,2015,2014,2014,2014,2018,2015,2017,2017,2014,2015,2015,2015,2017,2015,2015,2014,2015,2015,2017,2017,2015,2014,2014,2013,2017,2014,2018,2015,2017,2014,2017,2015,2016,2018,2018,2017,2018,2017,2017,2017,2017,2016,2018
